Connection error occurred,"HTTPConnectionPool(host='191.37.183.209', port=60139): Max retries exceeded with url: http://www.i28.com/jordan-%E4%B9%94%E4%B8%B9-c-995/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f620ac0fda0>, 'Connection to 191.37.183.209 timed out. (connect timeout=10.48)'))"
Connection error occurred;HTTPConnectionPool(host='51.254.152.142', port=80): Max retries exceeded with url: http://www.i28.com/jordan-%E4%B9%94%E4%B8%B9-c-995/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fd2c4a38208>, 'Connection to 51.254.152.142 timed out. (connect timeout=15.2)'))
2019-07-10 19:38:17.752789;Connection error occurred;HTTPConnectionPool(host='103.113.106.152', port=10801): Max retries exceeded with url: http://www.i28.com/new-balance-c-997/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:38:18.267476;HTTP error occurred;
2019-07-10 19:38:26.770862;Connection error occurred;HTTPConnectionPool(host='200.77.186.197', port=4145): Max retries exceeded with url: http://www.i28.com/under-armour-c-1135/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:38:30.517018;Connection error occurred;HTTPConnectionPool(host='201.150.21.6', port=4145): Max retries exceeded with url: http://www.i28.com/under-armour-c-1135/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:38:42.884152;Connection error occurred;HTTPConnectionPool(host='182.160.109.214', port=32908): Max retries exceeded with url: http://www.i28.com/converse-%E5%8C%A1%E5%A8%81-c-991/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:38:43.265355;HTTP error occurred;
2019-07-10 19:38:43.458845;Connection error occurred;HTTPConnectionPool(host='67.205.132.241', port=8080): Max retries exceeded with url: http://www.i28.com/converse-%E5%8C%A1%E5%A8%81-c-991/ (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6b2d26d550>: Failed to establish a new connection: [Errno 111] Connection refused')))
2019-07-10 19:38:44.052182;Connection error occurred;HTTPConnectionPool(host='118.179.149.182', port=4145): Max retries exceeded with url: http://www.i28.com/converse-%E5%8C%A1%E5%A8%81-c-991/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:38:44.814676;Connection error occurred;HTTPConnectionPool(host='103.115.128.6', port=58794): Max retries exceeded with url: http://www.i28.com/converse-%E5%8C%A1%E5%A8%81-c-991/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:38:49.598876;HTTP error occurred;403 Client Error: Forbidden for url: http://www.i28.com/vans-%E4%B8%87%E6%96%AF-c-1027/
2019-07-10 19:38:49.599713;403 error because of proxy;['119.81.71.27', '119.81.71.27', '31288', '54', '880', '1880252', 'SG', 'Singapore', 'Singapore', '1881', '19', '4', '1', '1', '0', '0']
2019-07-10 19:38:58.337293;Connection error occurred;HTTPConnectionPool(host='103.251.56.29', port=40304): Max retries exceeded with url: http://www.i28.com/vans-%E4%B8%87%E6%96%AF-c-1027/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f6b2ddd54e0>, 'Connection to 103.251.56.29 timed out. (connect timeout=8.72)'))
